"D.345.Cirrhosis","D.334.Cirrhosis","D.520.Cirrhosis","D.451.Cirrhosis","D.473.Cirrhosis","D.464.Cirrhosis","D.507.Cirrhosis","D.514.Cirrhosis","D.569.Cirrhosis","D.588.Cirrhosis","D.605.Cirrhosis","D.607.Cirrhosis","D.541.Cirrhosis","D.524.Cirrhosis","D.614.Cirrhosis","D.513.Cirrhosis","D.606.Cirrhosis","D.527.Cirrhosis","D.388.Cirrhosis","D.309.Cirrhosis","D.128.Cirrhosis.non.HCC","D.123.Cirrhosis.non.HCC","D.122.Cirrhosis.non.HCC","D.138.Cirrhosis.non.HCC","D.127.Cirrhosis.non.HCC","D.109.Cirrhosis.non.HCC","D.114.Cirrhosis.non.HCC","D.111.Cirrhosis.non.HCC","D.108.Cirrhosis.non.HCC","D.130.Cirrhosis.non.HCC","D.134.Cirrhosis.non.HCC","D.129.Cirrhosis.non.HCC","D.125.Cirrhosis.non.HCC","D.116.Cirrhosis.non.HCC","D.131.Cirrhosis.non.HCC","D.132.Cirrhosis.non.HCC"
"ABCC5_P444_F_01",0.0240857857475161,0.0313780054342026,0.681957670669037,0.0336532506205933,0.0246751276735602,0.0274684938211183,0.0267847124037793,0.0317371375031002,0.0603241704204,0.0321041236050491,0.0292192464820699,0.0313171821657639,0.026980272557776,0.0245867477241747,0.699604709506793,0.0309715194124759,0.0804189940530709,0.0283508421831743,0.759174543080368,0.027406041905019,0.75957961810909,0.0287802588792108,0.0335613858024548,0.0287716159809183,0.698916107010843,0.709672678821604,0.0284803678257008,0.0277011317477406,0.0372948995851337,0.0746065884268848,0.035017685455346,0.0844625283875852,0.028076455207707,0.0279774178297438,0.0726142065073185,0.0432835086222456
"ABCG2_P178_R_01",0.0582308273401714,0.0338533817923943,0.0433327329490874,0.0521769447320904,0.0442743349086956,0.0298667930624879,0.0498247890979883,0.0406745030463413,0.0461454176847311,0.0324746963276437,0.0515449028620627,0.04424006008519,0.0505446959746581,0.0288793771905338,0.0523042899267573,0.124295182292242,0.0393892454082762,0.0372866267340878,0.0328494260634706,0.0490091831802803,0.0566175627651037,0.033988850456561,0.0570056792360083,0.0702044877699911,0.0505201992410138,0.0374378215665763,0.05720821790375,0.069417703827757,0.0345847670618184,0.051672015929684,0.0317941177339014,0.0378218685755698,0.0513779629827109,0.0285402778910499,0.0408294643205493,0.045068698136308
"ABCG2_P310_R_01",0.069379424976593,0.0902976795784413,0.0803524540262203,0.0912579384621288,0.0952822193344257,0.0810419974022225,0.111399563913873,0.149662910105192,0.0541801155249412,0.0915412778867634,0.0980485148231051,0.094599035809238,0.122439051603905,0.0555987683854284,0.0903436170977134,0.0574358655624097,0.168054186107186,0.0815449504561538,0.120832764238747,0.145622817996179,0.0628630547638085,0.167373864240696,0.115612387310928,0.0827493713327745,0.148151814290556,0.0940140845070423,0.10064940889439,0.0962574391700485,0.246852494062907,0.119815985633103,0.106953601819364,0.0933489185287222,0.104547845826079,0.104494216923109,0.0949095403977975,0.152232457465016
"ABL1_P53_F_01",0.0401265444529616,0.0512194669584732,0.128394279021287,0.0932092061519783,0.159914180510858,0.146918068996122,0.211910987404408,0.0831054363026278,0.0537930331524093,0.115863512907225,0.148290876675695,0.104614327256556,0.106391145800013,0.0507827595386742,0.0978378027400818,0.163879614086222,0.100085756776414,0.0784575185980975,0.173778125155904,0.0913379666453691,0.104746909743802,0.264007044800528,0.111652540237647,0.119778943730072,0.0861816212998642,0.0789749670441709,0.0892429299858702,0.115516634395353,0.0490115891746423,0.118581641335876,0.0817918454557935,0.0767499773927198,0.0542937459575103,0.125443007628252,0.107579497023503,0.124194942084807
"ABL2_P459_R_01",0.900840260883841,0.8811942947539,0.803014107302462,0.922572604081217,0.808304319881154,0.833038180341186,0.831337654515731,0.89428335062677,0.875529585321439,0.815031024523831,0.874023861083923,0.936198927510922,0.870326803802017,0.931388375832466,0.842509871176166,0.912596552992486,0.932333687190375,0.925110252342479,0.869764432241479,0.855610890764322,0.863855509775756,0.919013100609872,0.923170729331642,0.937224434677907,0.832537349901772,0.878449809822143,0.942824212684121,0.901401593512957,0.974893767469164,0.935819087360345,0.942472360404022,0.938873883102929,0.876555424648558,0.93624506377524,0.960104649844006,0.948695595318528
"ABO_E110_F_01",0.198421114867084,0.183811933297631,0.594240417544715,0.159428770395876,0.143671804063535,0.0626536060965044,0.139891771801361,0.11116544584332,0.163402448749824,0.199487272727273,0.0956345545232087,0.144334466267113,0.212883248695821,0.112705660827193,0.665114174073232,0.121142246168413,0.197183034896631,0.0740781611842526,0.584272760691092,0.148850124982971,0.623705996050911,0.134724149330191,0.113788752307191,0.211561343299415,0.617193536557477,0.647944907397475,0.170972747636185,0.109096069714064,0.122359240915372,0.102463634400581,0.12695260290242,0.203505221820177,0.194006424295518,0.10384541867677,0.133020638512144,0.0767148145670906
"ABO_P312_F_01",0.0306103271979718,0.199804949408753,0.0327092176108472,0.0353254138350691,0.104541764172119,0.0999396135265701,0.0370048177099515,0.0267664194090174,0.0340053628906929,0.103455497382199,0.0317195810943664,0.122130102040816,0.0399679290413266,0.0283615345244921,0.0361651178280313,0.218745524846055,0.126743067799327,0.0311755875808667,0.0320050114025786,0.0346778471703118,0.0394387571719538,0.0311634554052272,0.026941910543867,0.0294483846006156,0.0381175115752609,0.0390034286233283,0.0255207287905646,0.0303762500364442,0.043945670156473,0.0319839349787974,0.0286994608640179,0.102734319658362,0.0285724807468341,0.0312964992974486,0.0335664656261461,0.0435685718923865
"ACTG2_E98_R_01",0.0570951634442315,0.0602164836480922,0.0699158219368538,0.0779073511500609,0.0606192818234703,0.0660530027997966,0.0681200047036867,0.0716328323974919,0.0740107622592653,0.0664714416683727,0.0664434219085018,0.0623991648476796,0.0659224604526414,0.0606091029497511,0.0622691548494133,0.0713724627066739,0.0600357555456593,0.0620185710863142,0.0679575074546766,0.0803421664964762,0.0752382567876788,0.0753189488215454,0.070379850590663,0.0685651271406331,0.072623475696396,0.0641959826158403,0.0645825182710927,0.0869276645170348,0.0864279711435252,0.067497320975353,0.0707484469522285,0.0714235561456365,0.0699916566237137,0.0681462040217685,0.0629163271006225,0.0817237054291346
"ACTG2_P346_F_01",0.831450545294081,0.855653007750707,0.809032932860206,0.882373872383796,0.817188560002856,0.839015016549904,0.853516634449883,0.84884158100529,0.829371229689363,0.752908177242414,0.814864447522743,0.894444476333704,0.856761741166366,0.856829588486521,0.788921460081804,0.892731587948308,0.877132478632479,0.828346407863322,0.818760852567552,0.799253284134646,0.808490730438746,0.873345795159375,0.87369855507167,0.882128734229741,0.781558372851189,0.818751102074318,0.871974329676061,0.805273217551219,0.873110747416435,0.874424770420394,0.889523893352782,0.882634714968165,0.803231475396778,0.861129277607755,0.861233260413279,0.831026549318921
"ACTG2_P455_R_01",0.837887220725717,0.755684159268832,0.792858498495242,0.813933150624561,0.770896463825415,0.813174234026676,0.79341526665915,0.789589518139394,0.729739275465404,0.720173548918042,0.774367586647292,0.834711660649091,0.815699214684454,0.887197472715817,0.784272708135986,0.874487110873249,0.841108241884886,0.832018757282112,0.8146062733741,0.730860459523862,0.81609094204775,0.817273062182804,0.832253070161375,0.823054690605539,0.780173046798512,0.751597199902796,0.840293997900015,0.800113080941656,0.808881404220387,0.835241144075014,0.818525629595226,0.856019224136972,0.775612499388723,0.84045358649789,0.837427909471438,0.832788406775371
